Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
GJB3	0	0	0
GJA4	2320	3	1
SMIM12	1166	31	0
DLGAP3	4	0	0
LOC653160	99	0	0
ZMYM6	216	0	0
ZMYM1	75	0	0
SFPQ	2753	145	4
ZMYM4	490	53	4
KIAA0319L	755	44	6
NCDN	227	0	0
TFAP2E	40	0	0
PSMB2	1354	307	8
C1orf216	558	0	0
CLSPN	46	0	0
AGO4	702	20	0
AGO1	536	0	0
AGO3	93	4	4
TEKT2	19	0	2
ADPRHL2	517	17	1
COL8A2	72	0	0
TRAPPC3	1195	26	1
MAP7D1	777	18	1
THRAP3	1754	60	5
SH3D21	25	0	0
EVA1B	554	4	0
STK40	2183	13	3
LSM10	760	46	3
OSCP1	61	0	1
MRPS15	913	50	5
CSF3R	594	379	42
GRIK3	6	0	0
MIR4255	0	0	0
ZC3H12A	1367	728	23
MEAF6	1003	29	0
MIR5581	0	0	0
SNIP1	299	8	0
DNALI1	290	7	0
GNL2	1107	7	0
RSPO1	88	0	0
C1orf109	216	2	1
CDCA8	10	0	0
EPHA10	15	1	0
MANEAL	55	0	0
YRDC	454	5	0
C1orf122	952	51	0
MTF1	426	91	2
INPP5B	346	0	0
SF3A3	1632	15	2
FHL3	404	82	9
POU3F1	4	0	0
MIR3659	0	0	0
RRAGC	843	17	0
GJA9-MYCBP	0	0	0
MYCBP	0	0	0
GJA9	0	0	0
RHBDL2	15	0	0
AKIRIN1	1507	42	0
NDUFS5	3505	58	6
MACF1	3886	124	4
KIAA0754	26	0	0
BMP8A	131	0	0
PPIEL	70	0	0
PABPC4	3313	134	0
SNORA55	0	0	0
HEYL	1794	3	0
NT5C1A	0	0	0
HPCAL4	47	0	0
PPIE	814	4	2
BMP8B	23	0	0
OXCT2	9	0	0
TRIT1	261	0	0
MFSD2A	321	12	2
CAP1	5651	753	42
PPT1	1563	72	6
RLF	421	14	0
TMCO2	3	0	0
ZMPSTE24	611	67	0
COL9A2	51	11	2
SMAP2	2292	411	38
ZFP69B	7	0	0
ZFP69	105	0	0
